TICKER,PRECO,DY,P/VP,ROIC, LIQUIDEZ MEDIA DIARIA, VALOR DE MERCADO,EBIT/EV,EBIT/EV Ranking,ROIC Ranking,General
BRAP3,23.53,29.48,1.19,76.8,2526831.38,9651043208.44,0.6369426751592356,7.5,1.5,9.0
BRAP4,24.94,30.34,1.28,76.8,87361090.95,9651043208.44,0.6369426751592356,7.5,1.5,9.0
SYNE3,4.95,175.67,0.49,38.27,2106455.19,757116447.2,1.1764705882352942,3.0,8.0,11.0
ETER3,11.34,8.04,1.14,34.78,9245170.24,716608270.0,0.48780487804878053,10.0,9.0,19.0
UNIP3,92.39,16.9,2.98,51.39,2261993.59,10652520885.04,0.3623188405797102,17.5,3.5,21.0
UNIP6,107.37,15.9,3.48,51.39,18365491.19,10652520885.04,0.3623188405797102,17.5,3.5,21.0
TASA3,16.3,9.91,2.15,48.02,413667.14,1995162974.54,0.4385964912280702,15.5,5.5,21.0
TASA4,16.27,9.86,2.16,48.02,14031390.51,1995162974.54,0.4385964912280702,15.5,5.5,21.0
GOAU4,11.49,19.9,0.77,29.17,101343381.73,12258186917.39,1.3888888888888888,1.5,20.5,22.0
GOAU3,10.74,21.48,0.72,29.17,957161.57,12258186917.39,1.3888888888888888,1.5,20.5,22.0
PETR4,34.25,48.67,1.09,30.9,2849023066.06,470589873106.9,0.44052863436123346,13.5,15.5,29.0
PETR3,37.22,44.51,1.19,30.9,814810851.54,470589873106.9,0.44052863436123346,13.5,15.5,29.0
GGBR3,22.32,13.96,0.81,29.68,897679.0,43516929363.3,0.4716981132075471,11.5,18.5,30.0
GGBR4,26.86,11.54,0.98,29.68,312859362.06,43516929363.3,0.4716981132075471,11.5,18.5,30.0
ENAT3,15.33,11.06,1.05,25.67,20201436.57,4104058613.2,0.5181347150259068,9.0,25.0,34.0
BRKM5,33.74,27.37,2.84,33.61,119756321.72,27114593272.12,0.32679738562091504,22.0,12.5,34.5
BRKM3,34.22,26.99,2.88,33.61,739042.64,27114593272.12,0.32679738562091504,22.0,12.5,34.5
VALE3,71.93,10.14,1.85,34.13,2714945343.72,343745504687.59,0.29154518950437314,26.0,10.0,36.0
FESA4,52.65,7.17,1.65,34.11,10392796.35,4755737600.0,0.2857142857142857,27.0,11.0,38.0
USIM3,8.23,9.08,0.43,19.98,4214554.69,9962237267.48,0.7246376811594204,4.5,34.5,39.0
USIM5,7.54,10.83,0.4,19.98,156908012.57,9962237267.48,0.7246376811594204,4.5,34.5,39.0
DEXP3,8.25,4.63,1.48,26.68,2428687.62,772941076.65,0.2680965147453083,28.0,22.0,50.0
KEPL3,24.94,4.82,4.07,39.32,26843016.68,2259082034.1,0.18181818181818182,47.5,7.0,54.5
SLCE3,44.42,5.43,1.96,23.58,64920977.43,9493165949.31,0.2136752136752137,34.0,28.0,62.0
JBSS3,26.01,7.69,1.34,20.41,214848747.44,57693206783.7,0.2617801047120419,30.0,33.0,63.0
LVTC3,5.97,2.91,0.61,18.28,1330901.36,386038486.11,0.33112582781456956,20.0,43.5,63.5
CEBR6,11.18,35.39,0.85,15.53,180127.35,901025345.25,0.6451612903225806,6.0,60.0,66.0
WIZS3,7.72,7.62,3.23,19.65,7682938.5,1234484217.04,0.24449877750611249,31.0,36.0,67.0
CAMB3,6.49,2.04,1.93,25.93,369725.06,274365269.2,0.17921146953405018,50.5,24.0,74.5
LEVE3,25.87,16.25,2.25,26.61,4455582.03,3318057810.0,0.17452006980802792,53.0,23.0,76.0
AGRO3,32.92,14.07,1.52,19.63,15288500.57,3375369953.76,0.19455252918287938,41.0,37.0,78.0
MRFG3,11.19,23.13,1.06,16.31,151387327.67,7385400000.0,0.3246753246753247,24.0,56.0,80.0
EUCA4,7.37,3.84,0.34,15.11,294557.61,809197601.72,0.3496503496503497,19.0,63.0,82.0
RANI3,9.11,7.01,2.19,19.31,9580319.49,2264042141.61,0.1855287569573284,46.0,38.0,84.0
CMIN3,3.35,16.05,1.46,16.34,31677000.81,18650152049.2,0.24390243902439027,32.0,55.0,87.0
CGRA4,33.14,10.52,0.8,14.97,239779.14,654138873.0,0.2949852507374631,25.0,64.0,89.0
CCRO3,12.71,1.29,2.2,16.17,151967574.25,25674200000.0,0.19920318725099603,38.0,57.0,95.0
TAEE11,40.27,13.19,1.94,19.17,77651114.0,13869525995.82,0.16286644951140067,58.0,40.0,98.0
TAEE4,13.41,13.21,1.94,19.17,2237108.89,13869525995.82,0.16286644951140067,58.0,40.0,98.0
TAEE3,13.46,13.1,1.95,19.17,1495593.65,13869525995.82,0.16286644951140067,58.0,40.0,98.0
TRPL4,23.71,6.22,1.01,15.71,43306990.95,17633423526.48,0.1798561151079137,49.0,58.0,107.0
CSNA3,12.98,6.7,0.81,12.86,160871477.49,17292265068.88,0.32679738562091504,22.0,85.0,107.0
PTBL3,13.23,6.85,4.11,25.45,11945838.11,1865256501.78,0.14326647564469913,83.0,26.0,109.0
ALUP11,27.8,4.39,1.13,13.68,21725393.68,8216759994.25,0.2114164904862579,36.0,79.0,115.0
POSI3,12.22,2.76,1.37,16.52,32422209.59,1745558000.0,0.16155088852988692,63.0,52.0,115.0
CURY3,11.79,5.78,5.35,30.59,26301044.19,3467476045.44,0.1295336787564767,100.0,17.0,117.0
ENBR3,23.04,9.52,1.19,14.22,75254218.11,13390047774.72,0.17921146953405018,50.5,68.0,118.5
ODPV3,8.71,3.33,4.31,31.72,19079855.46,5008183724.43,0.11918951132300357,105.0,14.0,119.0
CPFE3,34.23,11.41,2.84,17.91,88183889.7,39775823268.8,0.14619883040935672,80.0,46.0,126.0
BEEF3,14.03,6.39,12.39,15.45,105887628.97,8653788549.75,0.15772870662460567,68.0,62.0,130.0
CSUD3,14.53,6.02,1.73,15.68,1928521.54,606100000.0,0.15360983102918588,72.0,59.0,131.0
SMTO3,27.38,7.93,1.82,14.79,49346583.14,9795493473.43,0.1582278481012658,66.5,65.0,131.5
TECN3,2.15,3.75,0.48,11.51,1069389.14,160933424.4,0.2638522427440633,29.0,103.0,132.0
RAPT4,9.48,7.5,1.17,11.97,23441798.49,3107928166.77,0.19762845849802374,39.0,95.0,134.0
COCE5,46.37,7.43,0.98,13.55,445546.53,3322432443.42,0.1694915254237288,55.0,80.0,135.0
JHSF3,7.29,2.19,1.08,14.4,20825077.22,4986271490.94,0.15408320493066255,71.0,67.0,138.0
CRPG5,26.14,4.63,0.86,13.93,267158.17,929820636.86,0.1589825119236884,65.0,73.0,138.0
ITSA4,10.43,5.31,1.37,16.58,228330305.19,92649070050.73,0.14104372355430184,88.0,50.5,138.5
ITSA3,10.54,5.26,1.38,16.58,2187824.54,92649070050.73,0.14104372355430184,88.0,50.5,138.5
VULC3,13.8,2.54,2.24,21.13,9063934.36,3391436167.2,0.11098779134295228,108.0,31.0,139.0
MYPK3,13.89,13.25,0.53,11.13,26462002.19,2132090865.87,0.2127659574468085,35.0,108.0,143.0
PARD3,22.9,2.54,3.21,23.1,11529668.3,3028225116.4,0.10471204188481674,116.0,29.0,145.0
SUZB3,51.42,2.59,2.91,16.41,223984151.06,69996173489.28,0.13850415512465375,92.0,54.0,146.0
CSED3,5.07,2.57,1.35,13.02,2213487.41,1947293424.0,0.1582278481012658,66.5,83.5,150.0
CXSE3,8.75,6.14,2.42,20.45,22061712.95,26400000000.0,0.10131712259371835,119.0,32.0,151.0
KLBN11,21.17,6.62,2.95,13.75,126116167.03,23538970647.64,0.15060240963855423,77.0,76.0,153.0
KLBN3,4.29,6.52,2.99,13.75,2905513.57,23538970647.64,0.15060240963855423,77.0,76.0,153.0
CPLE11,35.9,8.5,0.96,12.11,12332486.92,19779810505.0,0.1620745542949757,61.0,92.0,153.0
CPLE3,6.98,8.16,0.93,12.11,5248701.92,19779810505.0,0.1620745542949757,61.0,92.0,153.0
KLBN4,4.21,6.62,2.95,13.75,10796612.73,23538970647.64,0.15060240963855423,77.0,76.0,153.0
CPLE6,7.21,8.7,0.96,12.11,84053289.49,19779810505.0,0.1620745542949757,61.0,92.0,153.0
AGXY3,7.64,2.2,1.04,13.07,543048.81,1301686416.18,0.1529051987767584,73.5,82.0,155.5
NEOE3,16.69,4.79,0.79,11.59,30033277.81,20221862151.68,0.1724137931034483,54.0,102.0,156.0
SAPR4,3.8,6.23,0.71,10.83,9981869.46,5727468917.01,0.1923076923076923,43.0,113.0,156.0
SAPR3,3.54,6.06,0.66,10.83,2045360.7,5727468917.01,0.1923076923076923,43.0,113.0,156.0
SAPR11,18.8,6.13,0.7,10.83,17424098.05,5727468917.01,0.1923076923076923,43.0,113.0,156.0
EGIE3,39.45,5.67,4.06,17.69,69914870.57,32188349343.0,0.11049723756906077,111.0,47.0,158.0
ALLD3,8.18,10.61,0.51,9.68,643342.43,762544360.76,0.22271714922048996,33.0,126.0,159.0
TPIS3,1.67,1.11,0.3,10.56,2126484.0,295680000.0,0.19607843137254904,40.0,119.0,159.0
QUAL3,7.24,3.53,1.47,11.14,30099583.69,2056263713.0,0.16778523489932887,56.0,106.5,162.5
