TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;21,08;;-45,16;2,18;0,97;31,96;4,48;-4,98;50,15;61,59;11,44;0,50;2,25;-26,83;-1,18;0,83;-4,82;-2,15;1,10;0,45;0,54;0,43;3,62;;7.246.381,72;9,68;-0,47;0,16;2.493.612.561,28
ABCB4;21,94;5,79;7,38;1,02;0,10;21,90;12,88;11,98;6,87;6,87;;;0,88;9,83;-0,10;1,25;13,77;1,33;;0,10;0,90;0,11;7,15;11,54;18.081.643,81;21,72;2,99;0,14;4.994.330.706,62
ABEV3;15,12;3,98;17,65;2,77;1,75;49,91;22,47;17,60;13,83;13,11;-0,72;-0,14;3,11;55,08;-2,43;1,13;15,70;9,91;18,74;0,63;0,36;0,56;9,82;1,54;405.307.655,54;5,48;0,86;-2,50;239.088.291.798,18
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;1,84;1,14;27.890,17;1,44;0,42;11,54;8,64;0,00;6,71;10,53;3,83;0,82;0,58;1,06;-1,22;2,49;0,01;0,00;7,87;0,29;0,71;0,72;;;8.475.838,35;1,26;0,00;-279,02;1.394.508.489,92
AESB3;9,41;1,15;11,81;1,70;0,39;23,57;15,63;18,74;14,16;25,61;11,45;1,38;2,21;2,20;-0,55;2,75;14,43;3,33;-1,42;0,23;0,68;0,18;;;22.299.309,46;5,47;0,79;;5.579.939.370,12
AFLT3;9,11;4,68;4,93;2,20;1,88;84,18;81,89;79,24;4,77;4,55;-0,21;-0,10;3,90;11,67;-2,48;3,00;44,62;38,22;43,94;0,86;0,14;0,48;30,86;52,19;15.054,18;4,15;1,85;0,01;574.701.617,00
AGRO3;32,92;14,07;6,49;1,52;1,01;40,44;35,97;27,11;4,89;5,14;0,25;0,08;1,76;3,06;-1,92;3,28;23,47;15,55;19,63;0,66;0,34;0,57;59,78;80,28;15.288.500,57;21,65;5,08;0,10;3.375.369.953,76
AGXY3;7,64;2,20;-68,11;1,04;0,17;12,08;4,22;-0,20;3,26;6,54;3,29;1,05;0,14;6,98;-0,83;1,03;-1,52;-0,24;13,07;0,16;0,84;1,21;;;543.048,81;7,35;-0,11;0,84;1.301.686.416,18
AHEB3;20,00;;-7,07;-2,56;0,55;41,13;0,84;-11,03;92,62;80,51;-12,10;;0,78;15,99;-0,79;1,13;-36,27;-7,78;-1,28;-0,21;1,21;0,70;-1,24;;5.015,17;-7,80;-2,83;0,13;170.877.880,00
AHEB5;22,00;;-7,78;-2,82;0,60;41,13;0,84;-11,03;101,88;80,51;-12,10;;0,86;17,59;-0,87;1,13;-36,27;-7,78;-1,28;-0,21;1,21;0,70;-1,24;;2.348,50;-7,80;-2,83;0,14;170.877.880,00
AHEB6;20,00;;-7,07;-2,56;0,55;41,13;0,84;-11,03;92,62;80,51;-12,10;;0,78;15,99;-0,79;1,13;-36,27;-7,78;-1,28;-0,21;1,21;0,70;-1,24;;8.650,00;-7,80;-2,83;0,13;170.877.880,00
ALLD3;8,18;10,61;5,60;0,51;0,18;13,66;4,26;2,38;3,13;4,49;1,36;0,22;0,13;0,68;-0,64;1,59;9,04;3,24;9,68;0,36;0,64;1,36;;;643.342,43;16,15;1,46;-0,09;762.544.360,76
ALPA3;17,40;2,27;21,70;2,07;1,56;47,38;10,98;13,90;27,47;29,78;-0,11;-0,01;3,02;8,69;-2,57;1,83;9,55;7,18;6,40;0,75;0,25;0,52;-0,53;8,66;87.578,22;8,39;0,80;0,26;12.933.114.838,45
ALPA4;20,38;2,13;25,51;2,44;1,83;47,38;10,98;13,90;32,28;29,78;-0,11;-0,01;3,54;10,21;-3,02;1,83;9,55;7,18;6,40;0,75;0,25;0,52;-0,53;8,66;64.858.731,16;8,39;0,80;0,31;12.933.114.838,45
ALPK3;2,15;;-2,60;0,94;0,18;28,77;3,86;-17,70;11,91;44,96;33,05;2,61;0,46;-0,91;-0,20;0,31;-36,20;-6,96;1,97;0,19;0,81;0,39;;;221.459,69;2,31;-0,84;0,16;465.305.554,91
ALSO3;20,82;1,84;21,68;0,83;0,49;70,10;52,84;24,36;10,00;7,33;-2,67;-0,22;5,28;4,44;-0,60;2,52;3,81;2,26;6,43;0,59;0,31;0,09;22,33;21,57;37.616.384,14;25,24;0,96;0,22;5.546.677.876,86
ALUP11;27,80;4,39;7,67;1,13;0,30;78,93;74,42;22,57;2,33;4,73;2,40;1,16;1,73;2,64;-0,37;2,73;14,70;3,94;13,68;0,27;0,60;0,17;27,49;28,06;21.725.393,68;24,85;3,65;-0,37;8.216.759.994,25
ALUP3;9,26;4,43;7,60;1,12;0,30;78,93;74,42;22,57;2,31;4,73;2,40;1,16;1,72;2,62;-0,37;2,73;14,70;3,94;13,68;0,27;0,60;0,17;27,49;28,06;67.416,58;8,28;1,22;-0,37;8.216.759.994,25
ALUP4;9,38;4,37;7,70;1,13;0,30;78,93;74,42;22,57;2,34;4,73;2,40;1,16;1,74;2,65;-0,37;2,73;14,70;3,94;13,68;0,27;0,60;0,17;27,49;28,06;101.662,92;8,28;1,22;-0,38;8.216.759.994,25
AMAR3;2,01;;-5,88;0,63;0,21;44,44;0,59;-4,15;41,11;118,14;77,03;1,18;0,24;1,69;-0,41;1,32;-10,72;-3,51;-3,70;0,33;0,67;0,84;-2,41;;10.965.584,44;3,19;-0,34;0,03;689.105.971,92
AMBP3;29,23;1,03;27,56;3,20;0,53;20,78;16,33;4,13;6,96;12,21;5,25;2,41;1,14;2,85;-0,88;1,87;11,62;1,92;8,21;0,16;0,81;0,46;;;23.518.551,73;9,17;1,07;1,06;3.316.918.219,56
AMER3;14,60;4,24;26,91;0,88;0,31;30,60;4,78;1,72;9,66;16,16;6,50;0,59;0,46;1,51;-0,55;1,84;3,28;1,14;2,18;0,35;0,65;0,66;21,42;;472.925.630,30;16,60;0,54;-0,08;13.319.098.782,48
ANIM3;5,71;;-7,38;0,86;0,22;55,99;11,95;-9,08;5,60;14,91;9,31;1,43;0,67;7,15;-0,28;1,18;-11,69;-3,00;4,41;0,26;0,71;0,33;22,51;;17.760.216,24;6,66;-0,78;0,01;2.318.206.940,70
APER3;27,88;0,25;54,00;0,74;0,48;100,00;7,69;3,17;22,27;10,79;-11,48;-0,38;1,71;2,67;-0,73;2,10;1,36;0,88;2,67;0,65;0,36;0,28;4,50;;514.117,25;37,89;0,52;0,24;320.066.135,92
APTI3;197,64;;-1,66;0,02;0,01;101,96;-40,32;-6,80;-0,28;-2,18;1,21;-0,07;0,11;0,02;-0,01;5,59;-0,92;-0,43;-10,00;0,47;0,53;0,06;-6,46;;;12.940,25;-119,01;0,02;44.442.750,00
APTI4;3.500,00;;-29,41;0,27;0,13;101,96;-40,32;-6,80;-4,96;-2,18;1,21;-0,07;2,00;0,40;-0,21;5,59;-0,92;-0,43;-10,00;0,47;0,53;0,06;-6,46;;;12.940,25;-119,01;0,29;44.442.750,00
ARML3;15,90;2,23;55,91;4,91;1,85;46,13;32,10;14,31;24,93;28,22;3,30;0,65;8,00;5,90;-3,11;4,35;8,79;3,30;6,64;0,38;0,62;0,23;;;6.469.620,94;3,24;0,28;0,24;5.501.655.051,90
ARZZ3;100,34;1,68;25,76;4,46;2,65;53,50;13,57;10,38;19,71;19,07;-0,64;-0,14;2,67;14,62;-5,55;1,53;17,30;10,28;17,60;0,59;0,41;0,99;18,73;30,00;110.975.045,41;22,62;3,91;0,32;11.106.756.561,60
ASAI3;18,57;0,67;18,80;7,61;0,75;16,39;5,35;2,68;9,40;12,48;3,08;2,49;0,50;-43,92;-1,10;0,95;40,50;4,01;18,16;0,10;0,90;1,50;;;230.548.632,92;2,45;0,99;-0,78;25.212.501.129,06
ATMP3;1,48;;-0,10;0,52;0,02;2,32;-35,88;-41,35;-0,12;-1,10;-0,98;4,25;0,04;-0,06;-0,03;0,39;-501,65;-21,72;-85,84;0,04;0,96;0,53;-12,49;;48.752,53;2,85;-14,31;0,00;39.531.326,88
ATOM3;2,44;2,83;6,24;2,27;1,62;99,19;25,70;27,56;6,69;4,31;-2,38;-0,81;1,72;1,75;-74,85;18,91;36,32;25,94;31,89;0,71;0,29;0,94;;;46.009,27;1,08;0,39;-0,30;58.083.951,12
AURA33;36,73;7,39;7,84;1,57;0,73;34,14;20,97;14,78;5,53;5,50;-0,03;-0,01;1,16;2,32;-1,48;2,61;20,03;9,29;9,51;0,46;0,54;0,63;;;4.878.205,92;23,17;4,64;-0,16;2.575.025.544,00
AURE3;14,36;0,70;-306,96;1,13;0,49;26,71;22,59;-1,25;17,03;19,68;2,65;0,18;3,85;2,67;-0,61;10,36;-0,37;-0,16;4,21;0,43;0,57;0,13;;;44.268.599,57;12,73;-0,05;;14.360.000.000,00
AVLL3;13,19;;-0,69;-1,61;0,17;-3,25;-122,25;-213,48;-1,20;-4,71;-3,50;;1,47;-0,39;-0,26;0,45;-233,80;-24,45;-32,40;-0,10;1,10;0,11;;;30.894,93;-8,19;-19,15;-0,11;295.664.322,86
AZEV3;2,16;;10,86;1,65;0,36;10,07;8,10;6,92;9,28;9,87;0,81;0,14;0,75;-6,88;-0,52;0,86;15,18;3,29;8,52;0,22;0,78;0,48;-8,87;;281.366,72;1,31;0,20;-0,12;162.658.552,00
AZEV4;2,08;;10,46;1,59;0,34;10,07;8,10;6,92;8,94;9,87;0,81;0,14;0,72;-6,63;-0,50;0,86;15,18;3,29;8,52;0,22;0,78;0,48;-8,87;;660.486,76;1,31;0,20;-0,12;162.658.552,00
AZUL4;16,17;;-8,58;-1,14;1,11;18,94;5,08;-17,71;29,90;38,90;30,67;;1,52;-2,63;-1,61;0,42;-13,26;-12,96;13,62;-0,98;1,98;0,73;8,38;;142.330.523,86;-14,33;-1,90;0,35;5.672.384.658,01
B3SA3;14,04;4,23;19,20;4,15;1,81;89,60;57,45;44,61;14,91;14,47;-0,43;-0,12;8,56;14,10;-2,79;1,57;21,60;9,41;12,41;0,44;0,56;0,21;34,69;25,27;645.592.720,69;3,39;0,73;-4,03;85.629.960.000,00
BAHI3;13,77;;-4,39;2,45;0,51;37,74;-13,40;-23,87;-7,82;-10,74;-2,92;0,92;1,05;-2,55;-0,54;0,22;-55,84;-11,69;-16,21;0,21;0,77;0,49;;;152.978,78;5,62;-3,14;-0,06;327.433.029,48
BALM3;11,40;2,21;4,58;0,84;0,50;56,50;13,34;17,55;6,03;4,69;-0,92;-0,13;0,80;1,12;-1,61;2,87;18,43;10,95;10,54;0,59;0,40;0,62;3,42;51,87;2.296,64;13,49;2,49;0,02;104.027.000,00
BALM4;9,83;2,56;3,95;0,73;0,43;56,50;13,34;17,55;5,20;4,69;-0,92;-0,13;0,69;0,96;-1,39;2,87;18,43;10,95;10,54;0,59;0,40;0,62;3,42;51,87;6.997,89;13,49;2,49;0,02;104.027.000,00
BAUH4;78,89;;47,55;3,89;2,58;20,86;1,58;4,85;145,73;146,70;0,97;0,03;2,31;-52,13;-3,54;0,85;8,19;5,42;-2,62;0,66;0,34;1,12;5,51;2,42;20.808,10;20,27;1,66;-0,78;411.981.093,58
BAZA3;48,94;14,04;3,14;0,61;0,08;34,59;57,92;35,78;1,94;1,94;;;1,12;0,89;-0,09;;19,56;2,68;;0,14;0,86;0,07;-2,61;46,25;210.971,69;79,74;15,60;0,03;2.743.493.936,10
BBAS3;39,81;8,93;4,89;0,76;0,06;26,69;15,37;12,47;3,97;3,97;;;0,61;1,76;-0,06;26,29;15,50;1,15;;0,07;0,92;0,09;-6,50;27,36;769.136.628,11;53,00;8,22;0,08;115.189.764.204,00
BBDC3;16,50;3,64;7,26;1,13;0,10;33,47;18,36;15,32;6,06;6,66;;;1,11;2,12;-0,11;5,40;15,53;1,40;;0,09;0,91;0,09;-5,09;6,31;119.279.697,16;14,68;2,28;0,47;194.007.671.487,31
BBDC4;19,81;3,34;8,71;1,35;0,12;33,47;18,36;15,32;7,26;6,66;;;1,33;2,54;-0,13;5,40;15,53;1,40;;0,09;0,91;0,09;-5,09;6,31;700.785.134,43;14,68;2,28;0,56;194.007.671.487,31
BBML3;3.936,42;;-13.013,11;1.573,92;150,72;6,11;-0,31;-0,84;-34.858,07;-34.949,87;-91,80;4,15;109,24;5.439,96;-257,31;1,07;-12,09;-1,16;-6,79;0,10;0,90;1,38;42,64;;;2,50;-0,30;92,83;160.451.699.191,56
BBSE3;28,50;6,85;11,98;7,38;4,19;;;;9,99;9,99;;;;53,13;-6,43;1,29;61,62;34,94;;0,57;0,43;0,00;;3,59;192.674.475,46;3,89;2,39;0,43;57.380.000.000,00
BDLL3;11,65;;-1,00;-0,09;0,03;-66,24;-168,61;-131,28;-0,78;-7,76;-7,11;;1,31;-0,18;-0,05;0,74;-9,48;-2,71;-183,64;-0,29;1,29;0,02;-39,65;;13.820,41;-123,47;-11,70;0,02;15.760.856,80
BDLL4;8,75;;-0,75;-0,07;0,02;-66,24;-168,61;-131,28;-0,58;-7,76;-7,11;;0,98;-0,14;-0,04;0,74;-9,48;-2,71;-183,64;-0,29;1,29;0,02;-39,65;;4.942,33;-123,47;-11,70;0,01;15.760.856,80
BEEF3;14,03;6,39;11,36;12,39;0,44;17,67;7,87;2,49;3,60;6,34;2,75;9,46;0,28;1,65;-1,30;1,68;109,12;3,88;15,45;0,04;0,96;1,56;22,82;31,35;105.887.628,97;1,15;1,25;0,29;8.653.788.549,75
BEES3;5,80;9,21;5,69;0,97;0,05;29,58;14,66;9,10;3,53;3,57;;;0,52;0,20;-0,07;;17,10;0,87;;0,05;0,95;0,10;-6,14;17,25;135.319,62;5,98;1,02;0,10;1.856.443.285,80
BEES4;6,02;8,89;5,90;1,01;0,05;29,58;14,66;9,10;3,66;3,57;;;0,54;0,21;-0,07;;17,10;0,87;;0,05;0,95;0,10;-6,14;17,25;51.857,46;5,98;1,02;0,11;1.856.443.285,80
BFRE11;0,00;;0,00;0,00;0,00;17,33;143,08;73,15;0,00;;;;0,00;0,00;0,00;;5,96;5,46;;0,92;0,08;0,07;;0,51;;275.449,09;16.422,59;0,00;
BFRE12;0,00;;0,00;0,00;0,00;17,33;143,08;73,15;0,00;;;;0,00;0,00;0,00;;5,96;5,46;;0,92;0,08;0,07;;0,51;;275.449,09;16.422,59;0,00;
BGIP3;27,19;3,67;8,40;0,72;0,05;42,18;9,16;5,49;5,04;4,22;;;0,46;-0,75;-0,11;0,89;8,54;0,61;;0,07;0,93;0,11;1,19;-5,46;4.120,67;37,90;3,24;-0,22;348.041.499,30
BGIP4;18,35;5,98;5,67;0,48;0,03;42,18;9,16;5,49;3,40;4,22;;;0,31;-0,50;-0,08;0,89;8,54;0,61;;0,07;0,93;0,11;1,19;-5,46;8.383,39;37,90;3,24;-0,15;348.041.499,30
BIDI11;10,40;0,43;-425,98;1,08;0,23;53,69;-8,03;-0,89;-47,49;-47,49;;;3,81;;-0,24;;-0,25;-0,05;;0,22;0,78;0,06;5,80;;189.680.308,83;9,67;-0,02;458,36;8.991.139.764,53
BIDI3;3,40;0,43;-417,79;1,06;0,23;53,69;-8,03;-0,89;-46,58;-47,49;;;3,74;;-0,24;;-0,25;-0,05;;0,22;0,78;0,06;5,80;;9.796.295,50;3,22;-0,01;449,54;8.991.139.764,53
BIDI4;3,41;0,43;-419,02;1,06;0,23;53,69;-8,03;-0,89;-46,72;-47,49;;;3,75;;-0,24;;-0,25;-0,05;;0,22;0,78;0,06;5,80;;44.223.197,08;3,22;-0,01;450,87;8.991.139.764,53
BIOM3;6,41;;-5,10;3,22;1,23;20,54;-74,91;-85,98;-5,86;-7,00;-1,14;0,62;4,39;5,86;-2,11;2,03;-63,03;-24,17;-25,43;0,38;0,62;0,28;;;85.660,56;1,99;-1,26;-0,16;471.316.736,32
BKBR3;7,55;;-27,10;1,41;0,53;64,01;1,66;-2,34;38,27;47,25;8,97;0,33;0,63;9,64;-0,70;1,29;-5,21;-1,95;1,83;0,38;0,62;0,84;14,59;;15.661.705,84;5,39;-0,28;0,33;2.095.454.951,67
BLAU3;30,62;2,61;17,46;3,18;2,30;46,63;30,66;23,25;13,24;12,07;-1,17;-0,28;4,06;4,21;-7,94;4,30;18,21;13,15;14,01;0,72;0,28;0,57;;;12.596.566,54;9,59;1,75;-2,73;5.471.515.139,50
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-1,08;-0,14;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;254.063,54;11,21;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,32;-0,04;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;224.305,00;11,21;-0,91;0,06;14.115.600,06
BMEB3;11,11;4,69;5,71;0,92;0,08;61,74;6,08;6,69;6,29;6,07;;;0,38;0,51;-0,09;;16,05;1,37;;0,09;0,91;0,20;-4,80;65,51;23.242,11;12,12;1,95;0,53;1.124.209.501,08
BMEB4;10,09;5,68;5,19;0,83;0,07;61,74;6,08;6,69;5,71;6,07;;;0,35;0,46;-0,08;;16,05;1,37;;0,09;0,91;0,20;-4,80;65,51;146.512,39;12,12;1,95;0,48;1.124.209.501,08
BMGB4;2,67;20,50;14,93;0,39;0,04;31,45;-3,24;1,94;-8,94;-8,94;;;0,29;;-0,04;;2,60;0,26;;0,10;0,90;0,13;13,33;-11,48;3.108.199,30;6,98;0,18;-0,23;1.580.559.833,81
BMIN3;20,50;;18,19;0,75;0,33;56,09;31,95;16,11;9,17;8,69;;;2,93;34,03;-0,34;;4,11;1,82;;0,44;0,56;0,11;-10,02;-16,11;3.419,67;27,44;1,13;0,41;93.682.846,09
BMIN4;13,13;6,47;11,65;0,48;0,21;56,09;31,95;16,11;5,88;8,69;;;1,88;21,79;-0,21;;4,11;1,82;;0,44;0,56;0,11;-10,02;-16,11;4.192,13;27,44;1,13;0,26;93.682.846,09
BMKS3;263,80;6,78;7,31;0,61;0,55;29,65;37,72;90,30;17,49;-4,75;-22,24;-0,78;6,60;0,72;-2,65;25,81;8,41;7,57;1,66;0,90;0,11;0,08;-1,89;0,67;10.888,17;429,20;36,11;0,02;119.963.050,00
BMOB3;16,78;1,21;22,01;1,48;1,11;24,03;8,13;6,19;16,78;11,35;-5,43;-0,48;1,36;2,59;-3,02;3,11;6,72;5,05;4,80;0,75;0,25;0,81;;;6.553.792,33;11,34;0,76;1,49;1.525.454.563,76
BNBR3;76,50;8,34;4,11;0,81;0,10;51,61;40,02;23,46;2,41;2,41;;;0,96;0,69;-0,12;;19,65;2,48;;0,13;0,87;0,11;-1,65;17,06;16.642,73;94,83;18,63;0,27;6.607.416.996,00
BOAS3;5,73;1,37;11,42;1,43;1,19;53,82;8,96;26,93;34,33;20,30;-14,03;-0,58;3,08;2,54;-2,82;5,14;12,48;10,39;0,25;0,83;0,17;0,39;6,65;;8.601.555,24;4,06;0,51;0,04;3.081.568.975,59
BOBR3;0,00;;0,00;0,00;0,00;30,00;4,84;-6,13;0,00;7,68;5,23;;0,00;0,00;0,00;0,63;-41,07;-9,26;23,22;-0,23;1,23;1,51;0,74;;;-0,75;-0,31;0,00;154.847.022,12
BOBR4;1,28;;-4,10;-1,68;0,38;30,00;4,84;-6,13;5,19;7,68;5,23;;0,25;-1,36;-0,72;0,63;-41,07;-9,26;23,22;-0,23;1,23;1,51;0,74;;40.419,30;-0,75;-0,31;0,03;154.847.022,12
BPAC11;27,60;1,89;16,78;2,60;0,28;19,56;23,33;17,48;12,58;12,58;;;2,93;8,63;-3,71;1,04;15,47;1,67;;0,11;0,89;0,10;5,25;6,21;317.073.188,30;10,78;1,67;-0,86;107.390.452.661,33
BPAC3;14,25;1,26;25,17;3,89;0,42;19,56;23,33;17,48;18,87;12,58;;;4,40;12,95;-5,57;1,04;15,47;1,67;;0,11;0,89;0,10;5,25;6,21;113.046,43;3,59;0,56;-1,29;107.390.452.661,33
BPAC5;6,70;2,63;12,05;1,86;0,20;19,56;23,33;17,48;9,03;12,58;;;2,11;6,20;-2,67;1,04;15,47;1,67;;0,11;0,89;0,10;5,25;6,21;76.296,81;3,59;0,56;-0,62;107.390.452.661,33
BPAN4;7,11;3,38;12,87;1,32;0,18;55,59;8,86;6,49;9,42;9,42;;;0,83;;-0,18;;10,23;1,36;;0,13;0,87;0,21;1,40;;24.387.481,78;5,48;0,56;-1,17;9.418.658.875,15
BPAR3;182,07;6,45;6,73;1,03;0,11;62,09;18,17;9,86;3,66;3,66;;;0,66;0,59;-0,14;;15,37;1,65;;0,11;0,89;0,17;4,66;2,16;;176,02;27,05;0,13;1.733.606.633,43
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;23,53;29,48;1,53;1,19;1,19;;;;1,55;1,57;-0,05;-0,04;;35,69;-1,23;6,01;78,20;77,67;76,80;0,99;0,01;0,00;;57,26;2.526.831,38;19,69;15,40;0,08;9.651.043.208,44
BRAP4;24,94;30,34;1,63;1,28;1,27;;;;1,66;1,57;-0,05;-0,04;;38,15;-1,32;6,01;78,20;77,67;76,80;0,99;0,01;0,00;;57,26;87.361.090,95;19,69;15,40;0,08;9.651.043.208,44
BRBI11;15,08;8,00;10,66;2,08;0,38;36,49;17,71;22,54;13,57;6,47;-7,10;-1,09;2,40;2,00;-43,89;1,24;19,47;3,56;0,77;0,18;0,82;0,16;;;1.376.231,57;7,23;1,41;0,50;1.574.935.560,00
BRBI3;0,00;;0,00;0,00;0,00;36,49;17,71;22,54;0,00;6,47;-7,10;-1,09;0,00;0,00;0,00;1,24;19,47;3,56;0,77;0,18;0,82;0,16;;;;2,41;0,47;0,00;1.574.935.560,00
BRBI4;0,00;;0,00;0,00;0,00;36,49;17,71;22,54;0,00;6,47;-7,10;-1,09;0,00;0,00;0,00;1,24;19,47;3,56;0,77;0,18;0,82;0,16;;;;2,41;0,47;0,00;1.574.935.560,00
BRFS3;13,79;;-10,00;1,22;0,26;17,30;2,77;-2,92;10,55;20,98;10,43;1,21;0,29;2,51;-0,48;1,30;-12,25;-2,63;2,98;0,21;0,77;0,90;7,46;;150.878.258,42;11,26;-1,38;0,04;14.927.306.062,34
BRGE11;7,20;5,25;15,27;0,42;0,17;-2.921,22;-539,33;836,27;-23,68;27,12;65,97;-1,16;127,71;0,46;-0,40;2,62;2,73;1,10;-1,88;0,40;0,43;0,00;-32,32;-10,71;5.854,00;17,26;0,47;0,44;869.937.459,20
BRGE12;8,00;;16,97;0,46;0,19;-2.921,22;-539,33;836,27;-26,31;27,12;65,97;-1,16;141,90;0,52;-0,45;2,62;2,73;1,10;-1,88;0,40;0,43;0,00;-32,32;-10,71;26.857,87;17,26;0,47;0,49;869.937.459,20
BRGE3;9,60;;20,36;0,56;0,22;-2.921,22;-539,33;836,27;-31,57;27,12;65,97;-1,16;170,28;0,62;-0,54;2,62;2,73;1,10;-1,88;0,40;0,43;0,00;-32,32;-10,71;22.305,85;17,26;0,47;0,58;869.937.459,20
BRGE5;10,70;2,95;22,70;0,62;0,25;-2.921,22;-539,33;836,27;-35,19;27,12;65,97;-1,16;189,79;0,69;-0,60;2,62;2,73;1,10;-1,88;0,40;0,43;0,00;-32,32;-10,71;3.035,50;17,26;0,47;0,65;869.937.459,20
BRGE6;14,50;5,22;30,75;0,84;0,34;-2.921,22;-539,33;836,27;-47,69;27,12;65,97;-1,16;257,19;0,94;-0,81;2,62;2,73;1,10;-1,88;0,40;0,43;0,00;-32,32;-10,71;6.769,38;17,26;0,47;0,88;869.937.459,20
